0,batch_size,lr,max_epochs,module__activation_fct,module__channel_list,module__conv_type,module__dropout,module__fc_hidden_layers,module__preprocess,train_loss_0,train_loss_1,train_loss_2,train_loss_min,train_loss_max,train_loss_mean,train_loss_std,valid_acc_0,valid_acc_1,valid_acc_2,valid_acc_min,valid_acc_max,valid_acc_mean,valid_acc_std,valid_loss_0,valid_loss_1,valid_loss_2,valid_loss_min,valid_loss_max,valid_loss_mean,valid_loss_std
17,,,,,,,,,,2.640168884126667,2.6485617682981903,2.6409930375906137,2.640168884126667,2.6485617682981903,2.6432412300051573,0.0037772038184137624,0.08582089552238806,0.09774436090225563,0.07116104868913857,0.07116104868913857,0.09774436090225563,0.08490876837126075,0.010871740247383962,2.631455410772295,2.6328453945934323,2.6366096310847706,2.631455410772295,2.6366096310847706,2.6336368121501663,0.002177345948506045
18,,,,,,,,,,2.6500560194541034,2.640342432529622,2.6494057508615345,2.640342432529622,2.6500560194541034,2.64660140094842,0.004433713760213067,0.1044776119402985,0.11278195488721804,0.09363295880149813,0.09363295880149813,0.11278195488721804,0.10363084187633824,0.007840441204789585,2.627517497361596,2.626703988340564,2.635714852408077,2.626703988340564,2.635714852408077,2.629978779370079,0.004069590450709693
19,,,,,,,,,,2.6465035463344155,2.6365355213139634,2.6408871980813835,2.6365355213139634,2.6465035463344155,2.641308755243254,0.004080331974454469,0.10074626865671642,0.10150375939849623,0.08239700374531835,0.08239700374531835,0.10150375939849623,0.09488234393351032,0.008833883169068666,2.6350077799896696,2.627366630654586,2.6352105015672547,2.627366630654586,2.6352105015672547,2.632528304070503,0.003650792457256839
20,,,,,,,,,,2.6509156158204714,2.637767001600018,2.6495891681084265,2.637767001600018,2.6509156158204714,2.646090595176305,0.005910528650953029,0.09701492537313433,0.09398496240601503,0.0898876404494382,0.0898876404494382,0.09701492537313433,0.09362917607619585,0.0029205576556828082,2.6308525960836837,2.627428562121284,2.6355406425418924,2.627428562121284,2.6355406425418924,2.631273933582287,0.0033251171561717668
21,,,,,,,,,,2.6455752670420387,2.634023925642001,2.6395175640399637,2.634023925642001,2.6455752670420387,2.6397055855746676,0.00471768913121609,0.11940298507462686,0.07518796992481203,0.07865168539325842,0.07518796992481203,0.11940298507462686,0.0910808801308991,0.020076612472297792,2.6236791219284283,2.6269742707560835,2.6356516089778714,2.6236791219284283,2.6356516089778714,2.6287683338874612,0.005049693616236993
22,,,,,,,,,,2.647274367382072,2.632219917377981,2.6459887284498946,2.632219917377981,2.647274367382072,2.641827671069983,0.006813952114135926,0.08955223880597014,0.15037593984962405,0.10112359550561797,0.08955223880597014,0.15037593984962405,0.11368392472040405,0.026371727975868436,2.627435328355476,2.6205597605024065,2.6335000652498968,2.6205597605024065,2.6335000652498968,2.6271650513692597,0.005286313080426887
23,,,,,,,,,,2.6381096045176187,2.628896234816479,2.644834720171415,2.628896234816479,2.644834720171415,2.637280186501837,0.006533237050449769,0.10820895522388059,0.12406015037593984,0.08614232209737828,0.08614232209737828,0.12406015037593984,0.10613714256573291,0.015549056372407652,2.6241559448526868,2.605316843305315,2.630289676930574,2.605316843305315,2.630289676930574,2.619920821696192,0.010625842897757204
24,,,,,,,,,,2.628685402732364,2.627958615391903,2.642598573978131,2.627958615391903,2.642598573978131,2.6330808640341323,0.006736574643596804,0.09701492537313433,0.11654135338345864,0.08614232209737828,0.08614232209737828,0.11654135338345864,0.09989953361799042,0.012576857035251743,2.6200581522130255,2.6047066889311137,2.634910879956649,2.6047066889311137,2.634910879956649,2.619891907033596,0.012331369671736097
25,,,,,,,,,,2.633157239943341,2.6198494612998853,2.6336666950812706,2.6198494612998853,2.6336666950812706,2.6288911321081656,0.006396808807958974,0.11940298507462686,0.12030075187969924,0.09737827715355805,0.09737827715355805,0.12030075187969924,0.11236067136929473,0.010600490511791646,2.6175125356930407,2.5979426283585396,2.619365573375859,2.5979426283585396,2.619365573375859,2.611606912475813,0.009691677959007404
26,,,,,,,,,,2.6262812421501027,2.6077162333111943,2.6495094556074874,2.6077162333111943,2.6495094556074874,2.627835643689595,0.01709737758812395,0.11567164179104478,0.17669172932330826,0.07865168539325842,0.07865168539325842,0.17669172932330826,0.12367168550253715,0.04042246139619957,2.6180954797944027,2.5787492587154075,2.636721587806159,2.5787492587154075,2.636721587806159,2.6111887754386562,0.024165742403174244
