0,batch_size,lr,max_epochs,module__activation_fct,module__channel_list,module__conv_type,module__dropout,module__fc_hidden_layers,module__preprocess,module__temporal_attention,train_loss_0,train_loss_1,train_loss_2,train_loss_min,train_loss_max,train_loss_mean,train_loss_std,valid_acc_0,valid_acc_1,valid_acc_2,valid_acc_min,valid_acc_max,valid_acc_mean,valid_acc_std,valid_loss_0,valid_loss_1,valid_loss_2,valid_loss_min,valid_loss_max,valid_loss_mean,valid_loss_std
23,,,,,,,,,,,2.435801405305468,2.4097525376539966,2.411210178180467,2.4097525376539966,2.435801405305468,2.41892137371331,0.011950809704514538,0.3970037453183521,0.40074906367041196,0.35687732342007433,0.35687732342007433,0.40074906367041196,0.3848767108029461,0.01985751113561582,2.2402034654152976,2.261483847871702,2.2433988835288687,2.2402034654152976,2.261483847871702,2.2483620656052894,0.009369758147554195
24,,,,,,,,,,,2.402637845168788,2.4427961386167087,2.4129975788395757,2.402637845168788,2.4427961386167087,2.419477187541691,0.017022752027051325,0.4344569288389513,0.3595505617977528,0.40148698884758366,0.3595505617977528,0.4344569288389513,0.3984981598280959,0.030653338915562274,2.2240041722072643,2.250895108176528,2.2603572416482804,2.2240041722072643,2.2603572416482804,2.245085507344024,0.015399134409020238
25,,,,,,,,,,,2.4310197458459966,2.443753979756282,2.4218792428400704,2.4218792428400704,2.443753979756282,2.4322176561474493,0.008970405810445543,0.39325842696629215,0.3707865168539326,0.36059479553903345,0.36059479553903345,0.39325842696629215,0.3748799131197527,0.013645392977014214,2.252674169754714,2.2671098646599703,2.2069149132554857,2.2069149132554857,2.2671098646599703,2.242232982556723,0.02565958997106384
26,,,,,,,,,,,2.4463444070476426,2.3843791558192327,2.3713837956187813,2.3713837956187813,2.4463444070476426,2.4007024528285523,0.03270688852406095,0.4344569288389513,0.4307116104868914,0.43866171003717475,0.4307116104868914,0.43866171003717475,0.4346100831210058,0.0032474208114992484,2.224433062228371,2.2196785358900435,2.207836429425775,2.207836429425775,2.224433062228371,2.217316009181397,0.006978452762270162
27,,,,,,,,,,,2.400051052921431,2.4182653427124023,2.3729131690339544,2.3729131690339544,2.4182653427124023,2.3970765215559293,0.018634033236228302,0.4419475655430712,0.42696629213483145,0.38661710037174724,0.38661710037174724,0.4419475655430712,0.4185103193498833,0.023366538765559768,2.1589320500691733,2.2127323257789184,2.2037975318369813,2.1589320500691733,2.2127323257789184,2.191820635895024,0.023540064343079672
28,,,,,,,,,,,2.437924132654596,2.490738296508789,2.331046980470132,2.331046980470132,2.490738296508789,2.4199031365445056,0.0664273855682001,0.41947565543071164,0.38202247191011235,0.37174721189591076,0.37174721189591076,0.41947565543071164,0.3910817797455783,0.020511043763575584,2.2009363969167075,2.276360810919201,2.1810108746737797,2.1810108746737797,2.276360810919201,2.2194360275032294,0.04106563717091465
29,,,,,,,,,,,2.4115755266587935,2.399999658878033,2.375524156125754,2.375524156125754,2.4115755266587935,2.3956997805541937,0.015028684673594321,0.43820224719101125,0.4606741573033708,0.36059479553903345,0.36059479553903345,0.4606741573033708,0.4198237333444718,0.04287421129455218,2.2495179104894287,2.1938837735393966,2.186378801622355,2.186378801622355,2.2495179104894287,2.2099268285503935,0.02816228539135805
30,,,,,,,,,,,2.3437722796310703,2.3815653214087855,2.3794025671964434,2.3437722796310703,2.3815653214087855,2.368246722745433,0.017328553522330058,0.43820224719101125,0.4044943820224719,0.40148698884758366,0.40148698884758366,0.43820224719101125,0.41472787268702227,0.016644234180685256,2.1137380582116516,2.1857687953706093,2.1866963999865225,2.1137380582116516,2.1866963999865225,2.1620677511895945,0.0341763517663655
31,,,,,,,,,,,2.4139688512932462,2.3563658934373124,2.339018819419405,2.339018819419405,2.4139688512932462,2.369784521383321,0.03203562081431136,0.49063670411985016,0.45318352059925093,0.3903345724907063,0.3903345724907063,0.49063670411985016,0.44471826573660245,0.04138336869850593,2.1183319797230125,2.1172662620687306,2.1646229290164536,2.1172662620687306,2.1646229290164536,2.1334070569360657,0.022077242292068158
32,,,,,,,,,,,2.373191414714663,2.309639750994169,2.378338028240755,2.309639750994169,2.378338028240755,2.3537230646498624,0.031242341086485173,0.5243445692883895,0.3857677902621723,0.39776951672862454,0.3857677902621723,0.5243445692883895,0.43596062542639546,0.0626886566506465,2.1427610300006936,2.1282375742880144,2.1330412559792897,2.1282375742880144,2.1427610300006936,2.134679953422666,0.006041340273081482
33,,,,,,,,,,,2.3360620341241303,2.362063085115873,2.3472346014599808,2.3360620341241303,2.362063085115873,2.348453240233328,0.010649803551043589,0.4943820224719101,0.44569288389513106,0.39776951672862454,0.39776951672862454,0.4943820224719101,0.44594814103188857,0.03944230329357466,2.0971023978365495,2.159626168704658,2.162309266377559,2.0971023978365495,2.162309266377559,2.1396792776395888,0.03012632042586051
34,,,,,,,,,,,2.3307399579948593,2.3211435684790978,2.353845251777958,2.3211435684790978,2.353845251777958,2.3352429260839718,0.013724857348461048,0.50187265917603,0.4157303370786517,0.40148698884758366,0.40148698884758366,0.50187265917603,0.4396966617007551,0.04434793673323038,2.0868373877100286,2.114283556348822,2.1449242887886926,2.0868373877100286,2.1449242887886926,2.115348410949181,0.023725829184253366
35,,,,,,,,,,,2.3374342131316377,2.349136913739718,2.3499417548464443,2.3374342131316377,2.3499417548464443,2.345504293905933,0.0057158606864006305,0.4419475655430712,0.4344569288389513,0.45724907063197023,0.4344569288389513,0.45724907063197023,0.44455118833799756,0.009485236620558116,2.1106209504916875,2.1373075947779396,2.1432916320389532,2.1106209504916875,2.1432916320389532,2.1304067257695265,0.014202343773574056
36,,,,,,,,,,,2.3368333843146756,2.307874448482807,2.32012314695384,2.307874448482807,2.3368333843146756,2.3216103265837744,0.011869113097091984,0.50187265917603,0.4344569288389513,0.43866171003717475,0.4344569288389513,0.50187265917603,0.45833043268405205,0.030836819573795908,2.0829579075623985,2.1260487435015847,2.155116538576034,2.0829579075623985,2.155116538576034,2.1213743965466727,0.029643483230233178
37,,,,,,,,,,,2.335511198860734,2.327545437446007,2.273697241652678,2.273697241652678,2.335511198860734,2.3122512926531402,0.027455108512366558,0.4419475655430712,0.42696629213483145,0.4312267657992565,0.42696629213483145,0.4419475655430712,0.4333802078257197,0.006302783652435445,2.054999354180325,2.1222163478979903,2.109008822742448,2.054999354180325,2.1222163478979903,2.0954081749402547,0.029077646358094934
38,,,,,,,,,,,2.3264977333061503,2.304761560146625,2.3510445818046612,2.304761560146625,2.3510445818046612,2.3274346250858122,0.018906574660765646,0.45692883895131087,0.4307116104868914,0.4200743494423792,0.4200743494423792,0.45692883895131087,0.43590493296019384,0.015487442181216143,2.0547655227032493,2.133388365699111,2.1579218832533598,2.0547655227032493,2.1579218832533598,2.1153585905519066,0.044000858130875564
39,,,,,,,,,,,2.3326376039782204,2.3209206691155067,2.3558603904150814,2.3209206691155067,2.3558603904150814,2.3364728878362695,0.014519597855469897,0.49812734082397003,0.4232209737827715,0.44981412639405205,0.4232209737827715,0.49812734082397003,0.45705414700026453,0.03100596049806632,2.0520647179321405,2.0721945325087074,2.0911872732594996,2.0520647179321405,2.0911872732594996,2.0718155079001157,0.01597396482980993
40,,,,,,,,,,,2.339645540863419,2.2766953578362097,2.331287154802238,2.2766953578362097,2.339645540863419,2.3158760178339555,0.027914258516406436,0.5056179775280899,0.44569288389513106,0.4275092936802974,0.4275092936802974,0.5056179775280899,0.45960671836783945,0.033371022513642455,2.0838881275627053,2.1080097973569947,2.0764133823848567,2.0764133823848567,2.1080097973569947,2.0894371024348524,0.013482747033936236
41,,,,,,,,,,,2.3071973459208897,2.36545562010545,2.30917117705924,2.3071973459208897,2.36545562010545,2.3272747143618595,0.027010000307187053,0.47191011235955055,0.4307116104868914,0.4758364312267658,0.4307116104868914,0.4758364312267658,0.4594860513577359,0.020409643644350387,1.9930771763405104,2.0878300389993503,2.1009157696621124,1.9930771763405104,2.1009157696621124,2.060607661667324,0.04804916872746681
42,,,,,,,,,,,2.293239154531132,2.315740339572613,2.262485174315054,2.262485174315054,2.315740339572613,2.290488222806266,0.021828175609650956,0.5131086142322098,0.4344569288389513,0.4423791821561338,0.4344569288389513,0.5131086142322098,0.46331490840909834,0.035357699577360575,2.057898880390639,2.1401356561353593,2.0279323815413126,2.0279323815413126,2.1401356561353593,2.075322306022437,0.0474346956560059
43,,,,,,,,,,,2.3160859108889067,2.304412196232722,2.3208326328696542,2.304412196232722,2.3208326328696542,2.3137769133304276,0.006899579075599297,0.4681647940074906,0.4307116104868914,0.45353159851301117,0.4307116104868914,0.4681647940074906,0.450802667669131,0.015411479198310407,2.014600859599167,2.0898448786931985,2.096006199329759,2.014600859599167,2.096006199329759,2.0668173125407083,0.0370081877097826
44,,,,,,,,,,,2.285006544243498,2.2908233899336596,2.2344232402555284,2.2344232402555284,2.2908233899336596,2.270084391477562,0.025327813477234187,0.50187265917603,0.41947565543071164,0.4312267657992565,0.41947565543071164,0.50187265917603,0.4508583601353327,0.036390165142830326,1.9851270043448117,2.0623852911959872,1.9996849887876262,1.9851270043448117,2.0623852911959872,2.0157324281094753,0.033519655461494484
45,,,,,,,,,,,2.2969151054929378,2.316387092150175,2.216820559290333,2.216820559290333,2.316387092150175,2.276707585644482,0.04308620436792421,0.550561797752809,0.44569288389513106,0.4684014869888476,0.44569288389513106,0.550561797752809,0.4882187228789292,0.04504748903223962,2.0320267422815386,2.0931389849730646,2.034572695267688,2.0320267422815386,2.0931389849730646,2.053246140840764,0.028227642821354603
46,,,,,,,,,,,2.344955921402565,2.2766954752115103,2.2670941325281397,2.2670941325281397,2.344955921402565,2.2962485097140717,0.03466367368850915,0.4943820224719101,0.47191011235955055,0.41263940520446096,0.41263940520446096,0.4943820224719101,0.4596438466786405,0.0344800408424852,2.072777959737885,2.013012306520555,2.083029509477013,2.013012306520555,2.083029509477013,2.0562732585784844,0.03087508216164287
47,,,,,,,,,,,2.2991256885969147,2.2857299474569466,2.360828006428331,2.2857299474569466,2.360828006428331,2.3152278808273974,0.032704638420137926,0.4868913857677903,0.45318352059925093,0.45353159851301117,0.45318352059925093,0.4868913857677903,0.46453550162668417,0.015808635959635758,2.006902966606483,2.057828396000666,2.0743191321986316,2.006902966606483,2.0743191321986316,2.04635016493526,0.02869433378537921
48,,,,,,,,,,,2.225754644689477,2.2548281779656043,2.295896232472679,2.225754644689477,2.295896232472679,2.2588263517092533,0.028774405631283397,0.5280898876404494,0.4794007490636704,0.45353159851301117,0.45353159851301117,0.5280898876404494,0.48700741173904366,0.030909875522183904,1.9442917202295882,2.0342434256264332,2.0384397941007935,1.9442917202295882,2.0384397941007935,2.0056583133189383,0.04342653902579662
49,,,,,,,,,,,2.291093048163626,2.23327788573045,2.2163748911120758,2.2163748911120758,2.291093048163626,2.2469152750020505,0.03199150447544793,0.5168539325842697,0.4681647940074906,0.4758364312267658,0.4681647940074906,0.5168539325842697,0.48695171927284203,0.02137475575061438,1.9849341013904815,2.0392676524901656,2.036519204816854,1.9849341013904815,2.0392676524901656,2.020240319565834,0.024990468483502636
50,,,,,,,,,,,2.2957193674779606,2.28392574603741,2.247943344373464,2.247943344373464,2.2957193674779606,2.2758628192962784,0.020320682184168683,0.48314606741573035,0.5056179775280899,0.5018587360594795,0.48314606741573035,0.5056179775280899,0.4968742603344332,0.009827866323696558,2.0209412302417253,2.046317271079017,2.0340012458177306,2.0209412302417253,2.046317271079017,2.0337532490461574,0.010361209354864861
51,,,,,,,,,,,2.2053370198111217,2.2710012215834396,2.2880741116628482,2.2053370198111217,2.2880741116628482,2.254804117685803,0.035666195227632376,0.4681647940074906,0.4756554307116105,0.45724907063197023,0.45724907063197023,0.4756554307116105,0.4670230984503571,0.007557606517243729,1.9620295155807381,2.028576566038953,2.0547936219708185,1.9620295155807381,2.0547936219708185,2.01513323453017,0.039045590703934985
52,,,,,,,,,,,2.274295140047046,2.2782965366656964,2.2244658888190236,2.2244658888190236,2.2782965366656964,2.259019188510589,0.02448742103483974,0.5468164794007491,0.46441947565543074,0.4795539033457249,0.46441947565543074,0.5468164794007491,0.49692995280063484,0.03581211971336063,1.9677030419588981,2.0610792145746926,1.9886064485103225,1.9677030419588981,2.0610792145746926,2.0057962350146377,0.04001161475656465
53,,,,,,,,,,,2.2693493503923023,2.2519626379013062,2.2355894027188103,2.2355894027188103,2.2693493503923023,2.252300463670806,0.013784510906983804,0.5393258426966292,0.49063670411985016,0.48698884758364314,0.48698884758364314,0.5393258426966292,0.5056504648000408,0.023858611606513782,2.0064752718036094,2.0324084142620644,1.9991373909450374,1.9991373909450374,2.0324084142620644,2.0126736923369037,0.014272480769443754
54,,,,,,,,,,,2.2199951007574996,2.25784927881681,2.2706234707768025,2.2199951007574996,2.2706234707768025,2.249489283450371,0.021497675914666142,0.5692883895131086,0.49063670411985016,0.4684014869888476,0.4684014869888476,0.5692883895131086,0.509442193540602,0.04328030036479602,1.9255155842848932,2.002446421969696,2.0062365301479637,1.9255155842848932,2.0062365301479637,1.978066178800851,0.03719108287377678
55,,,,,,,,,,,2.2227854051764364,2.271691549741305,2.2317585614375295,2.2227854051764364,2.271691549741305,2.242078505451757,0.021257605343226377,0.5468164794007491,0.50187265917603,0.5092936802973977,0.50187265917603,0.5468164794007491,0.5193276062913922,0.019672256221011465,1.9127654551566764,2.0257528203257014,1.9635756689376547,1.9127654551566764,2.0257528203257014,1.9673646481400109,0.04620464222352962
56,,,,,,,,,,,2.2906184634758486,2.264902980511005,2.2865887446210564,2.264902980511005,2.2906184634758486,2.2807033962026364,0.011293051271569233,0.550561797752809,0.5093632958801498,0.46096654275092935,0.46096654275092935,0.550561797752809,0.5069638787946295,0.03661643830736568,1.9512187153212586,1.9936586551451951,2.001916078829854,1.9512187153212586,2.001916078829854,1.9822644830987695,0.02220999826126853
57,,,,,,,,,,,2.193565621642222,2.2731954574584963,2.2448733519037796,2.193565621642222,2.2731954574584963,2.2372114770014995,0.032957102757932046,0.5168539325842697,0.5205992509363296,0.5204460966542751,0.5168539325842697,0.5205992509363296,0.5192997600582915,0.001730591051835128,1.9339383885208588,1.9862136742595429,1.991853482661194,1.9339383885208588,1.991853482661194,1.9706685151471985,0.026073978231077436
58,,,,,,,,,,,2.210208939404529,2.2132480951455924,2.2226945191679204,2.210208939404529,2.2226945191679204,2.215383851239347,0.005316234010149812,0.550561797752809,0.48314606741573035,0.483271375464684,0.48314606741573035,0.550561797752809,0.5056597468777412,0.03175058587508973,1.8913098756740157,1.9505029921228072,1.957483098409433,1.8913098756740157,1.957483098409433,1.933098655402085,0.029686215143440886
59,,,,,,,,,,,2.262886913839272,2.2609536170959474,2.2139612927831895,2.2139612927831895,2.262886913839272,2.2459339412394694,0.02262184926210491,0.5168539325842697,0.5168539325842697,0.5427509293680297,0.5168539325842697,0.5427509293680297,0.5254862648455231,0.012207961358775275,2.0056388610311213,1.969879327195414,1.9279445361027487,1.9279445361027487,2.0056388610311213,1.9678209081097613,0.03175195372852951
60,,,,,,,,,,,2.2548036953941692,2.2164225908426136,2.286798022845347,2.2164225908426136,2.286798022845347,2.2526747696940435,0.028770060837270076,0.5543071161048689,0.4943820224719101,0.4646840148698885,0.4646840148698885,0.5543071161048689,0.5044577178155558,0.037275682835126014,1.892319725247358,2.014995621384753,2.006512685336145,1.892319725247358,2.014995621384753,1.9712760106560854,0.055937830402209274
61,,,,,,,,,,,2.2349672106393146,2.228779040850126,2.2062549407312178,2.2062549407312178,2.2349672106393146,2.2233337307402192,0.012337940467345364,0.5730337078651685,0.5168539325842697,0.5241635687732342,0.5168539325842697,0.5730337078651685,0.5380170697408908,0.02493967928754923,1.9071543689970667,1.9611643842990032,1.9685855372687697,1.9071543689970667,1.9685855372687697,1.9456347635216131,0.02737789801918974
62,,,,,,,,,,,2.2352883207671796,2.2640400116260233,2.179812714084265,2.179812714084265,2.2640400116260233,2.2263803488258227,0.03495781634940382,0.5767790262172284,0.4868913857677903,0.5055762081784386,0.4868913857677903,0.5767790262172284,0.5230822067211524,0.03872804294156016,1.919101616416531,1.996877580992738,1.9618814567651004,1.919101616416531,1.996877580992738,1.95928688472479,0.03180486356407477
