0,batch_size,lr,max_epochs,module__activation_fct,module__channel_list,module__conv_type,module__dropout,module__fc_hidden_layers,module__preprocess,train_loss_0,train_loss_1,train_loss_min,train_loss_max,train_loss_mean,train_loss_std,valid_acc_0,valid_acc_1,valid_acc_min,valid_acc_max,valid_acc_mean,valid_acc_std,valid_loss_0,valid_loss_1,valid_loss_min,valid_loss_max,valid_loss_mean,valid_loss_std
11,,,,,,,,,,2.8540738703887585,2.772120313314925,2.772120313314925,2.8540738703887585,2.8130970918518416,0.040976778536916836,0.13432835820895522,0.13962264150943396,0.13432835820895522,0.13962264150943396,0.1369754998591946,0.002647141650239368,2.6234660148620605,2.6207621097564697,2.6207621097564697,2.6234660148620605,2.622114062309265,0.0013519525527954102
12,,,,,,,,,,2.821462113962927,2.7738799948152333,2.7738799948152333,2.821462113962927,2.79767105438908,0.023791059573846862,0.14925373134328357,0.12830188679245283,0.12830188679245283,0.14925373134328357,0.13877780906786819,0.01047592227541537,2.6204705238342285,2.6189017295837402,2.6189017295837402,2.6204705238342285,2.6196861267089844,0.0007843971252441406
13,,,,,,,,,,2.792949540996368,2.768831353269932,2.768831353269932,2.792949540996368,2.78089044713315,0.012059093863217907,0.16044776119402984,0.1169811320754717,0.1169811320754717,0.16044776119402984,0.13871444663475077,0.02173331455927907,2.6182398796081543,2.6122334003448486,2.6122334003448486,2.6182398796081543,2.6152366399765015,0.003003239631652832
14,,,,,,,,,,2.775630619254875,2.80222896971309,2.775630619254875,2.80222896971309,2.7889297944839826,0.013299175229107618,0.1791044776119403,0.09811320754716982,0.09811320754716982,0.1791044776119403,0.13860884257955505,0.040495635032385235,2.6160287857055664,2.600019693374634,2.600019693374634,2.6160287857055664,2.6080242395401,0.008004546165466309
15,,,,,,,,,,2.7630398576659276,2.800569663807435,2.7630398576659276,2.800569663807435,2.7818047607366814,0.018764903070753736,0.15671641791044777,0.1471698113207547,0.1471698113207547,0.15671641791044777,0.15194311461560123,0.004773303294846529,2.6142172813415527,2.598905563354492,2.598905563354492,2.6142172813415527,2.6065614223480225,0.0076558589935302734
16,,,,,,,,,,2.7313776103517684,2.7466829225792764,2.7313776103517684,2.7466829225792764,2.739030266465522,0.007652656113753986,0.1044776119402985,0.18490566037735848,0.1044776119402985,0.18490566037735848,0.1446916361588285,0.04021402421852999,2.610015869140625,2.6049418449401855,2.6049418449401855,2.610015869140625,2.6074788570404053,0.0025370121002197266
17,,,,,,,,,,2.7459940212080705,2.7311383666552875,2.7311383666552875,2.7459940212080705,2.738566193931679,0.007427827276391463,0.11194029850746269,0.17735849056603772,0.11194029850746269,0.17735849056603772,0.14464939453675021,0.03270909602928752,2.604046583175659,2.6079814434051514,2.604046583175659,2.6079814434051514,2.6060140132904053,0.0019674301147460938
18,,,,,,,,,,2.737811696782048,2.719161920034954,2.719161920034954,2.737811696782048,2.728486808408501,0.009324888373546836,0.09701492537313433,0.16226415094339622,0.09701492537313433,0.16226415094339622,0.1296395381582653,0.032624612785130944,2.5964457988739014,2.6057116985321045,2.5964457988739014,2.6057116985321045,2.601078748703003,0.0046329498291015625
19,,,,,,,,,,2.7309713574962577,2.725130811991481,2.725130811991481,2.7309713574962577,2.7280510847438695,0.0029202727523882643,0.09701492537313433,0.1320754716981132,0.09701492537313433,0.1320754716981132,0.11454519853562377,0.017530273162489438,2.591813564300537,2.600142240524292,2.591813564300537,2.600142240524292,2.5959779024124146,0.004164338111877441
20,,,,,,,,,,2.7146438899986545,2.7110284248835295,2.7110284248835295,2.7146438899986545,2.712836157441092,0.0018077325575625025,0.1044776119402985,0.12830188679245283,0.1044776119402985,0.12830188679245283,0.11638974936637567,0.011912137426077163,2.590696334838867,2.594907522201538,2.590696334838867,2.594907522201538,2.5928019285202026,0.0021055936813354492
